sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
HN002-T2	1p	2	1	120694040	120694040	1	DIPLOID
HN002-T2	1q	2	1	127686891	127686891	1	DIPLOID
HN002-T2	2p	2	1	92315521	92315521	1	DIPLOID
HN002-T2	2q	2	1	150716379	150716379	1	DIPLOID
HN002-T2	3p	1	0	90444054	90444054	1	HETLOSS
HN002-T2	3q	1	0	107395881	107395881	1	HETLOSS
HN002-T2	4p	2	1	49649317	49649317	1	DIPLOID
HN002-T2	4q	2	1	141372783	141372783	1	DIPLOID
HN002-T2	5p	2	1	46395041	46395041	1	DIPLOID
HN002-T2	5q	2	1	134301933	134301933	1	DIPLOID
HN002-T2	6p	3	1	58766316	58766316	1	GAIN
HN002-T2	6q	3	1	112085384	112085384	1	GAIN
HN002-T2	7p	3	1	58043131	58043131	1	GAIN
HN002-T2	7q	3	1	101070819	101070819	1	GAIN
HN002-T2	8p	3	1	43815837	43815837	1	GAIN
HN002-T2	8q	3	1	102462363	102462363	1	GAIN
HN002-T2	9p	1	0	47357179	47357179	1	HETLOSS
HN002-T2	9q	1	0	93721255	93721255	1	HETLOSS
HN002-T2	10p	1	0	39194235	39194235	1	HETLOSS
HN002-T2	10q	1	0	96181865	96181865	1	HETLOSS
HN002-T2	11p	2	1	51574005	51574005	1	DIPLOID
HN002-T2	11q	2	1	83301560	83301560	1	DIPLOID
HN002-T2	12p	2	1	34795944	34795944	1	DIPLOID
HN002-T2	12q	2	1	98984215	98984215	1	DIPLOID
HN002-T2	13q	2	1	96075155	96075155	1	DIPLOID
HN002-T2	14q	2	1	88288350	88288350	1	DIPLOID
HN002-T2	15q	2	1	82399499	82399499	1	DIPLOID
HN002-T2	16p	2	1	35275201	35275201	1	DIPLOID
HN002-T2	16q	2	1	54827474	54827474	1	DIPLOID
HN002-T2	17p	2	1	22262606	22262606	1	DIPLOID
HN002-T2	17q	2	1	58888914	58888914	1	DIPLOID
HN002-T2	18p	2	1	15450219	15450219	1	DIPLOID
HN002-T2	18q	2	1	62539059	62539059	1	DIPLOID
HN002-T2	19p	2	1	24620982	24620982	1	DIPLOID
HN002-T2	19q	2	1	34416195	34416195	1	DIPLOID
HN002-T2	20p	2	1	26309069	26309069	1	DIPLOID
HN002-T2	20q	2	1	36594797	36594797	1	DIPLOID
HN002-T2	21q	2	1	36811653	36811653	1	DIPLOID
HN002-T2	22q	2	1	35158750	35158750	1	DIPLOID
HN002-T2	23q	1	0	2350	2350	1	HETLOSS
