sample	gene	chrom	gene_start	gene_end	tsg	seg	median_cnlr_seg	segclust	seg_start	seg_end	cf.em	tcn.em	lcn.em	cf	tcn	lcn	seg_length	mcn	genes_on_seg	gene_snps	gene_het_snps	spans_segs	cn_state	filter
HN002-T2	A1BG	19	58856544	58864865	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	33	1	FALSE	DIPLOID	PASS
HN002-T2	A1CF	10	52559169	52645435	FALSE	22	-0.860634818203363	1	60700	135436800	0.866057241718663	1	0	0.866057241718663	1	0	135376100	1	751	345	36	FALSE	HETLOSS	PASS
HN002-T2	A2M	12	9220260	9268825	FALSE	25	-0.0405661303462767	3	7402590	107758250	1	2	1	1	2	1	100355660	1	729	194	57	FALSE	DIPLOID	PASS
HN002-T2	A2ML1	12	8975068	9039597	FALSE	25	-0.0405661303462767	3	7402590	107758250	1	2	1	1	2	1	100355660	1	729	254	44	FALSE	DIPLOID	PASS
HN002-T2	A3GALT2	1	33772367	33786699	FALSE	2	-0.02014685956208	6	841100	47010406	1	2	1	1	2	1	46169306	1	662	54	1	FALSE	DIPLOID	PASS
HN002-T2	A4GALT	22	43088118	43117304	FALSE	36	-0.0212859013700162	9	16050500	51209250	1	2	1	1	2	1	35158750	1	449	114	3	FALSE	DIPLOID	PASS
HN002-T2	A4GNT	3	137842560	137851229	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	34	2	FALSE	HETLOSS	PASS
HN002-T2	AAAS	12	53701240	53718648	FALSE	25	-0.0405661303462767	3	7402590	107758250	1	2	1	1	2	1	100355660	1	729	69	2	FALSE	DIPLOID	PASS
HN002-T2	AACS	12	125549925	125627879	FALSE	26	-0.0235805141927597	10	107758650	133840909	1	2	1	1	2	1	26082259	1	231	311	53	FALSE	DIPLOID	PASS
HN002-T2	AADAC	3	151531825	151546276	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	58	30	FALSE	HETLOSS	PASS
